Basketball Player,Basketball team,Age,Height,Home country,college_1,college_1_start_year,college_1_end_year,college_2,college_2_start_year,college_2_end_year,college_3,college_3_start_year,college_3_end_year
Allen Lindsay,Chicago Sky,30,1.73,United States,,,,,,,,,
Allen Rebecca,Phoenix Mercury,32,1.86,Australia,,,,,,,,,
Amihere Laeticia,Atlanta Dream,24,1.86,Canada,,,,,,,,,
Atkins Ariel,Washington Mystics,28,1.73,United States,,,,,,,,,
Atwell Amy,Phoenix Mercury,27,1.83,United States,University of Hawaii,2017,2021,,,,,,
Austin Shakira,Washington Mystics,24,1.96,United States,,,,,,,,,
Banham Rachel,"Connecticut Sun
Chicago Sky",31,1.75,United States,,,,,,,,,
Bell Kierstan,Las Vegas Aces,25,1.85,United States,,,,,,,,,
Berger Grace,Indiana Fever,26,1.82,United States,,,,,,,,,
Bertsch Morgan,"Phoenix Mercury
Dallas Wings",28,1.9,United States,UC Davis,2014,2018,,,,,,
Bickle Caitlin,Connecticut Sun,25,1.85,United States,Baylor University,2018,2022,,,,,,
Billings Monique,"Dallas Wings
Phoenix Mercury",29,1.93,United States,,,,,,,,,
Bonner Dewanna,Connecticut Sun,37,1.93,United States,,,,,,,,,
Boston Aliyah,Indiana Fever,23,1.96,United States,,,,,,,,,
Brink Cameron,Los Angeles Sparks,23,1.92,United States,Stanford University,2020,2023,,,,,,
Brown Jaelyn,Dallas Wings,26,1.85,United States,,,,,,,,,
Brown Kalani,Dallas Wings,28,2.01,United States,,,,,,,,,
Brown Lexie,Los Angeles Sparks,30,1.75,United States,University of Maryland,2013,2014,Duke University,2016,2017,,,
Brown-Turner Jakia,Washington Mystics,23,1.83,United States,North Carolina State University,2019,2022,University of Maryland,2023,2023,,,
Burke Kennedy,New York Liberty,28,1.85,United States,,,,,,,,,
Burrell Rae,Los Angeles Sparks,25,1.88,United States,,,,,,,,,
Burton Veronica,Connecticut Sun,25,1.75,United States,,,,,,,,,
Caldwell Maya,Atlanta Dream,26,1.8,United States,,,,,,,,,
Canada Jordin,Atlanta Dream,29,1.7,United States,,,,,,,,,
Cannon Emma,Las Vegas Aces,36,1.88,United States,,,,,,,,,
Cardoso Kamilla,Chicago Sky,23,2.01,Brazil,,,,,,,,,
Carleton Bridget,Minnesota Lynx,28,1.85,Canada,,,,,,,,,
Carrington DiJonai,Connecticut Sun,27,1.8,United States,,,,,,,,,
Carter Jessika,Las Vegas Aces,25,1.96,United States,Mississippi State University,2018,2023,,,,,,
Carter Chennedy,Chicago Sky,26,1.75,United States,TAMU,2017,2019,,,,,,
Charles Tina,Atlanta Dream,36,1.93,United States,,,,,,,,,
Clarendon Layshia,Los Angeles Sparks,34,1.75,United States,,,,,,,,,
Clark Alysha,Las Vegas Aces,38,1.81,"United States, Israel",,,,,,,,,
Clark Caitlin,Indiana Fever,23,1.8,United States,,,,,,,,,
Cloud Natasha,Phoenix Mercury,33,1.75,United States,,,,,,,,,
Coffey Nia,Atlanta Dream,30,1.85,United States,,,,,,,,,
Collier Napheesa,Minnesota Lynx,28,1.85,United States,,,,,,,,,
Colson Sydney,Las Vegas Aces,35,1.73,United States,,,,,,,,,
Cooke Zia,Los Angeles Sparks,24,1.75,United States,,,,,,,,,
Copper Kahleah,Phoenix Mercury,30,1.85,United States,,,,,,,,,
Cubaj Lorela,Atlanta Dream,26,1.93,Italy,Georgia Tech,2017,2021,,,,,,
Cunningham Sophie,Phoenix Mercury,28,1.85,United States,,,,,,,,,
Dangerfield Crystal,"Atlanta Dream
Los Angeles Sparks",27,1.72,United States,UConn,2016,2019,,,,,,
Dantas Damiris,Indiana Fever,32,1.92,Brazil,,,,,,,,,
Davis Marquesha,New York Liberty,24,1.8,United States,,,,,,,,,
Davis Kaela,Chicago Sky,30,1.88,United States,Georgia Tech,2013,2014,University of South Carolina,2016,2016,,,
Deshields Diamond,Chicago Sky,30,1.85,United States,University of North Carolina,2013,2013,University of Tennessee,2015,2016,,,
Diggins-Smith Skylar,Seattle Storm,34,1.75,United States,,,,,,,,,
