Basketball Player,Basketball team,Age,Height,Home country,college_1,college_1_start_year,college_1_end_year,college_2,college_2_start_year,college_2_end_year,college_3,college_3_start_year,college_3_end_year
Akoa Makani Monique,Phoenix Mercury,24,1.79,France,,,,,,,,,
Allemand Julie,Los Angeles Sparks,29,1.73,Belgium,,,,,,,,,
Allen Rebecca,Chicago Sky,32,1.86,Australia,,,,,,,,,
Allen Lindsay,Connecticut Sun,30,1.73,United States,University of Notre Dame,2013,2016,,,,,,
Amihere Laeticia,Golden State Valkyries,24,1.86,Canada,University of South Carolina,2019,2022,,,,,,
Atkins Ariel,Chicago Sky,28,1.73,United States,University of Texas,2014,2017,,,,,,
Austin Shakira,Washington Mystics,24,1.96,United States,University of Maryland,2018,2019,University of Mississippi,2020,2021,,,
Badiane Marieme,Minnesota Lynx,30,1.9,France,,,,,,,,,
Banham Rachel,Chicago Sky,31,1.75,United States,University of Minnesota,2011,2015,,,,,,
Barker Sarah Ashlee,Los Angeles Sparks,23,1.83,United States,University of Georgia,2020,2021,University of Alabama,2022,2024,,,
Bell Kierstan,Las Vegas Aces,25,1.85,United States,Ohio State University,2019,2019,Florida Gulf Coast University ,2020,2021,,,
Berger Grace,Los Angeles Sparks,26,1.82,United States,University of Indiana,2018,2022,,,,,,
Bibby Chloe,Golden State Valkyries,27,1.84,Australia,Mississippi State University,2017,2019,University of Maryland,2020,2021,,,
Billings Monique,Golden State Valkyries,29,1.93,United States,UCLA,2014,2017,,,,,,
Bonner Dewanna,"Indiana Fever
Phoenix Mercury",37,1.93,United States,Auburn University,2005,2008,,,,,,
Boston Aliyah,Indiana Fever,23,1.96,United States,University of South Carolina,2019,2022,,,,,,
Bradford Crystal,Las Vegas Aces,31,1.83,United States,Central Michigan University,2011,2014,,,,,,
Brown Jaelyn,Connecticut Sun,26,1.85,United States,Cal,2016,2019,,,,,,
Brown Kalani,Phoenix Mercury,28,2.01,United States,Baylor University,2015,2018,,,,,,
Brown Lexie,Seattle Storm,30,1.75,United States,University of Maryland,2013,2014,Duke University,2016,2017,,,
Bueckers Paige,Dallas Wings,23,1.83,United States,UConn,2020,2024,,,,,,
Burke Kennedy,New York Liberty,28,1.85,United States,UCLA,2015,2018,,,,,,
Burrell Rae,Los Angeles Sparks,25,1.88,United States,University of Tennessee,2018,2021,,,,,,
Burton Veronica,Golden State Valkyries,25,1.75,United States,Northwestern University,2018,2021,,,,,,
Caldwell Maya,Atlanta Dream,26,1.8,United States,University of Georgia,2017,2020,,,,,,
Canada Jordin,Atlanta Dream,29,1.7,United States,UCLA,2014,2017,,,,,,
Cannon Emma,Los Angeles Sparks,36,1.88,United States,Central Florida University,2007,2009,Florida Southern University,2010,2010,,,
Cardoso Kamilla,Chicago Sky,24,2.01,Brazil,Syracuse University,2020,2020,University of South Carolina,2021,2023,,,
Carleton Bridget,Minnesota Lynx,28,1.85,Canada,Iowa State University,2015,2018,,,,,,
Carrington DiJonai,Dallas Wings,27,1.8,United States,Stanford University,2016,2019,Baylor University,2020,2020,,,
Charles Tina,Connecticut Sun,36,1.93,United States,UConn,2006,2009,,,,,,
Charles Kaila,Dallas Wings,27,1.8,United States,University of Maryland,2016,2019,,,,,,
Chen Kaitlyn,Golden State Valkyries,23,1.75,United States,Princeton,2021,2023,UConn,2024,2024,,,
Citron Sonia,Washington Mystics,21,1.85,United States,University of Notre Dame,2021,2024,,,,,,
Clark Caitlin,Indiana Fever,23,1.8,United States,University of Iowa,2020,2023,,,,,,
Clark Alysha,Seattle Storm,38,1.81,"United States, Israel",Belmont University,2005,2006,Middle Tennessee University,2008,2009,,,
Cloud Natasha,New York Liberty,33,1.75,United States,University of Maryland,2010,2010,St Josephs University,2012,2014,,,
Coffey Nia,Atlanta Dream,30,1.85,United States,Northwestern University,2013,2016,,,,,,
Collier Napheesa,Minnesota Lynx,28,1.85,United States,UConn,2015,2018,,,,,,
Colson Sydney,Indiana Fever,35,1.73,United States,TAMU,2007,2010,,,,,,
Cooke Zia,Seattle Storm,24,1.75,United States,University of South Carolina,2019,2022,,,,,,
Copper Kahleah,Phoenix Mercury,30,1.85,United States,Rutgers University,2012,2015,,,,,,
Cunningham Sophie,Indiana Fever,28,1.85,United States,University of Missouri,2015,2018,,,,,,
Dantas Damiris,Indiana Fever,32,1.92,Brazil,,,,,,,,,
Davis Marquesha,New York Liberty,24,1.8,United States,University of Arkansas,2019,2020,University of Mississippi,2022,2023,,,
Diaby Kariata,Connecticut Sun,30,1.93,Ivory Coast,,,,,,,,,
Diggins Skylar,Seattle Storm,34,1.75,United States,University of Notre Dame,2009,2012,,,,,,
Dolson Stefanie,Washington Mystics,33,1.96,United States,UConn,2010,2013,,,,,,
